wormbase_gene_id,gene_symbol,gene_function,protein_domains,chromosome,strand,biotype,gene_length,pis_total_hits,pgs_total_hits,pis_total_density_per_kb,pgs_total_density_per_kb,pis_CDS_hits,pgs_CDS_hits,pis_five_prime_UTR_hits,pgs_five_prime_UTR_hits,pis_three_prime_UTR_hits,pgs_three_prime_UTR_hits,pis_intron_hits,pgs_intron_hits,pis_promoter_hits,pgs_promoter_hits
WBGene00006876,vab-10,"vab-10 encodes, by alternative splicing, two spectraplakins (VAB-10A and VAB-10B) that are jointly required for mechanical resilience of the epidermis under strain by the contraction of actin microfilaments mechanically linked to fibrous organelles (FOs); VAB-10A/B are, accordingly, required for elongation during embryonic morphogenesis; VAB-10A has C-terminal plectin repeats while VAB-10B has spectrin repeats; VAB-10A is required to keep the epidermis and extracellular matrix attached via FOs, while VAB-10B is required to keep the apical and basal epidermal plasma membranes connected during morphogenesis; vab-10a and vab-10b mutations complement one another; vab-10 is orthologous to human BPAG1 (dystonin or MACF2, OMIM:113810, encoding an autoantigen of bullous pemphigoid blistering disease) and dJ562N20.1 (MACF1), and to Drosophila SHORT STOP.",Calponin homology domain; EF-hand domain pair; Gas2-related domain; Plectin repeat; Spectrin repeat; Spectrin/alpha-actinin,I,-,protein_coding,57568,2,4,0.0347,0.0695,1,1,0,0,0,0,1,3,0,0
WBGene00021187,Y9D1A.2,none available,,II,-,pseudogene,2583,5,1,1.9357,0.3871,5,1,0,0,0,0,0,0,0,0
WBGene00202229,F57G4.15,none available,,V,+,ncRNA,171,0,6,0.0,35.0877,0,0,0,0,0,0,0,6,0,0
WBGene00189954,F40G9.18,none available,,III,-,protein_coding,2320,5,0,2.1552,0.0,4,0,0,0,0,0,1,0,0,0
WBGene00008812,F14F7.5,none available,Domain of unknown function WSN,III,+,protein_coding,4408,5,0,1.1343,0.0,5,0,0,0,0,0,0,0,0,0
WBGene00006985,zig-8,zig-8 encodes a predicted secreted protein that is a member of the immunoglobulin superfamily of proteins; a zig-8::gfp reporter fusion is expressed in the PVT neuron and in pharyngeal muscle.,Immunoglobulin I-set; Immunoglobulin V-set domain; Immunoglobulin subtype; Immunoglobulin subtype 2; Immunoglobulin-like domain; Immunoglobulin-like fold,III,+,protein_coding,14119,4,1,0.2833,0.0708,0,0,0,0,0,0,4,1,0,0
WBGene00019562,K09C6.8,none available,Protein kinase-like domain,V,-,protein_coding,3009,0,5,0.0,1.6617,0,0,0,0,0,0,0,5,0,0
WBGene00013949,ZK262.2,none available,Alpha/Beta hydrolase fold; Fungal lipase-like domain,V,-,protein_coding,2661,1,4,0.3758,1.5032,0,4,0,0,0,0,1,0,0,0
WBGene00044138,sssh-1,none available,,X,+,protein_coding,2888,0,5,0.0,1.7313,0,0,0,0,0,0,0,5,0,0
WBGene00020283,T06A4.3,none available,"Carboxypeptidase, activation peptide; Peptidase M14, carboxypeptidase A; Protease propeptides/proteinase inhibitor I9; ShKT domain",I,+,protein_coding,7243,4,0,0.5523,0.0,1,0,0,0,0,0,3,0,0,0
WBGene00012946,Y47H9B.2,none available,Chymotrypsin family Peptidase-S1,I,+,protein_coding,3283,4,0,1.2184,0.0,0,0,0,0,0,0,4,0,0,0
WBGene00002189,kin-1,"kin-1 encodes multiple isoforms of a serine/threonine protein kinase that is orthologous to cAMP-dependent protein kinase (protein kinase A or PKA) catalytic subunits; KIN-1 is able to phosphorylate histone H2B in vitro and is associated with both particulate (~65%) and cytosolic (35%) cellular fractions; KIN-1 is expressed at low levels during embryogenesis, but its expression level increases in late embryogenesis, whereupon KIN-1 expression remains relatively high throughout larval and adult development; kin-1 mRNA levels, however, are fairly constant throughout development, suggesting that KIN-1 expression is regulated post-transcriptionally.","AGC-kinase, C-terminal; Protein kinase domain; Protein kinase-like domain",I,+,protein_coding,38461,2,2,0.052,0.052,2,1,0,0,0,0,0,1,0,0
WBGene00020092,pcf-11,none available,CID domain; ENTH/VHS; RNA polymerase II-binding domain,III,+,protein_coding,4912,4,0,0.8143,0.0,1,0,1,0,0,0,2,0,0,0
WBGene00021428,Y38F2AR.10,none available,Major sperm protein (MSP) domain; PapD-like; Vesicle-associated membrane-protein-associated protein,IV,-,protein_coding,3280,0,4,0.0,1.2195,0,0,0,0,0,0,0,4,0,0
WBGene00013101,Y51H4A.5,none available,Alpha/Beta hydrolase fold; Fungal lipase-like domain,IV,-,protein_coding,3610,4,0,1.108,0.0,0,0,0,0,0,0,4,0,0,0
WBGene00020388,T10B5.2,none available,,V,-,pseudogene,3373,0,4,0.0,1.1859,0,0,0,0,0,0,0,4,0,0
WBGene00017930,F29G9.1,none available,,V,+,protein_coding,1482,2,2,1.3495,1.3495,0,2,1,0,0,0,0,0,0,0
WBGene00044200,H37A05.4,none available,,V,-,protein_coding,2902,3,1,1.0338,0.3446,3,0,0,1,0,0,0,0,0,0
WBGene00016725,C46H3.2,none available,Ankyrin repeat; Ankyrin repeat-containing domain; SH3 domain; Sterile alpha motif domain; Sterile alpha motif/pointed domain,X,-,protein_coding,18999,2,2,0.1053,0.1053,0,0,0,0,0,0,1,2,0,0
WBGene00019435,K06A9.1,"The K06A9.1 gene encodes an homolog of human TCOF1, which when mutated leads to Treacher-Collins syndrome (OMIM:154500).",,X,+,protein_coding,12641,4,0,0.3164,0.0,3,0,0,0,0,0,1,0,0,0
WBGene00006742,unc-2,"unc-2 encodes a calcium channel alpha subunit similar to the human P/Q-type calcium channel, CACNA1A; unc-2 is required for desensitization to dopamine, normal movement, normally low sensitivity of whole animals to serotonin, and neuronal migrations; unc-2 interacts with the TGF beta pathway to regulate movement, and maintain normal serotonin levels; unc-2/TGF beta pathway is also required for the stress-induced modulation of tryptophan hydroxylase/tph-1 expression in the serotonergic chemosensory ADF neurons (but not the NSM neurons); UNC-2 is expressed primarily in motor neurons, several sensory neurons, and the HSN and VC neurons controlling egg-laying.","Ion transport domain; Voltage-dependent L-type calcium channel, IQ-associated domain; Voltage-dependent calcium channel, alpha-1 subunit; Voltage-dependent calcium channel, alpha-1 subunit, IQ domain",X,-,protein_coding,52607,2,2,0.038,0.038,0,0,0,0,0,0,2,1,0,0
WBGene00021733,otub-2,The Y50C1A.1 gene encodes an A20-like protease homolog that may be involved in apoptosis.,OTU domain,I,+,protein_coding,14028,2,1,0.1426,0.0713,0,0,0,0,0,0,2,1,0,0
WBGene00022159,mppa-1,none available,"Metalloenzyme, LuxS/M16 peptidase-like; Peptidase M16, C-terminal; Peptidase M16, N-terminal",I,-,protein_coding,10415,0,3,0.0,0.288,0,0,0,0,0,0,0,3,0,0
WBGene00010770,K11D2.4,none available,Zinc finger C2H2-type,I,+,protein_coding,9536,3,0,0.3146,0.0,0,0,0,0,3,0,0,0,0,0
WBGene00007655,C17H1.2,none available,,I,-,protein_coding,18014,0,3,0.0,0.1665,0,3,0,0,0,0,0,0,0,0
WBGene00012394,hsd-1,"hsd-1 encodes a hydroxysteroid dehydrogenase orthologous to 3beta-hydroxysteroid dehydrogenase/delta5-delta4 isomerases (3beta-HSDs); HSD-1 likely functions in the biosynthesis of steroid hormones, such as delta4-dafachronic acid, to promote reproductive growth (larval development) and prevent dauer arrest; in regulating larval development, hsd-1 exhibits cross-talk with the insulin signaling pathway, via regulation of the subcellular localization, and hence activity, of DAF-16; hsd-1 is expressed in the two neuronal-like XXX(L/R) cells beginning in late embryogenesis (pretzel stage) and continuing through all four larval stages, with expression fading in adults; HSD-1 is paralogous to HSD-2 and HSD-3.",3-beta hydroxysteroid dehydrogenase/isomerase; NAD(P)-binding domain,I,-,protein_coding,4329,0,3,0.0,0.693,0,0,0,0,0,0,0,3,0,0
WBGene00008187,C49A1.5,none available,Glycosyltransferase family 92,I,+,protein_coding,4787,1,2,0.2089,0.4178,0,0,1,0,0,0,0,2,0,0
WBGene00005078,src-2,"src-2 encodes a non-receptor protein tyrosine kinase that, along with src-1, is one of two C. elegans Src family kinase members; although src-2(RNAi) alone results in no overt phenotype, src-2(RNAi) performed in the background of retinoblastoma pathway mutants results in embryonic and larval lethality, as well as sterility; a src-2::GFP reporter fusion is expressed in pharyngeal muscles, the vulva, and some cells around anus; overexpression of SRC-2 in yeast cell results in an overall increase in protein tyrosine phosphorylation levels, which is suppressed by co-expression with CSK-1, a predicted negative regulator of SRC-2 activity.","Protein kinase-like domain; SH2 domain; SH3 domain; Serine-threonine/tyrosine-protein kinase, catalytic domain; Tyrosine-protein kinase, catalytic domain",I,+,protein_coding,6729,1,2,0.1486,0.2972,0,0,0,0,0,0,1,2,0,0
WBGene00001147,eat-18,"eat-18 encodes a small novel protein with an intracellular N terminus, a single predicted transmembrane domain, and a short, extracellular carboxy terminus; eat-18 is required for proper nicotinic neurotransmission by the excitatory pharyngeal MC neuron and thus, for rapid pharyngeal pumping in the presence of food; eat-18 is also required for alpha-bungarotoxin-binding to pharyngeal nicotinic receptors, suggesting that EAT-18 is required for normal topology of most or all nicotinic receptors in postsynaptic cells in the pharynx; an EAT-18::GFP fusion protein is expressed in pharyngeal muscle, the M5 pharyngeal motor neuron, and five to six unidentified extrapharyngeal neurons; eat-18 displays allele-specific genetic interactions with eat-2, which encodes a non-alpha-nicotonic acetylcholine receptor subunit expressed in pharyngeal muscle and also required for proper regulation of the pharyngeal pumping rate.",,I,+,protein_coding,8363,3,0,0.3587,0.0,0,0,3,0,0,0,0,0,0,0
WBGene00018572,lin-42,"lin-42 encodes three PAS domain-containing proteins orthologous to insect and vertebrate Period proteins that function in regulation of circadian rhythms; during larval development, lin-42 functions in the heterochronic pathway to regulate developmental switches that occurs in multiple tissues, including the hypodermis, gonad, sex myoblasts, and vulva; genetic analysis suggests that, in the hypodermis, lin-42 acts downstream of lin-46 and in the hypodermis and gonad, in parallel to daf-12 and upstream of lin-29; lin-42 mRNA levels oscillate during larval development with peak levels seen during intermolts and low levels seen during ecdysis and after the L4-to-adult molt; LIN-42 protein appears to be a widely expressed nuclear protein whose levels also fluctuate during larval stages, with peak protein typically seen towards the latter half of each larval stage in a cell type-specific manner, and then disappearing during each successive molt; in addition to three PAS domain-containing proteins, lin-42 also encodes a protein that lacks the PAS domain; transformation rescue experiments indicate that the LIN-42 isoform lacking the PAS domain is sufficient for rescue when present in multiple copies.",PAS domain,II,-,protein_coding,19124,0,3,0.0,0.1569,0,1,0,0,0,1,0,0,0,0
WBGene00004215,ptp-3,"ptp-3 encodes a receptor-like tyrosine phosphatase orthologous to the LAR (Leukocyte Common Antigen Related, OMIM:179590) subfamily of receptor-like tyrosine phosphatases that contain extracellular immunoglobulin-like and fibronectin type III domains and have been implicated in linking cell adhesion to intracellular phosphotyrosine levels; PTP-3 plays a role in gastrulation and epidermal development and functions partly redundantly with the VAB-1 Eph receptor and ephrins VAB-2 and EFN-4 to regulate embryonic morphogenesis; PTP-3 is expressed in many tissues during early embryogenesis, but expression later becomes localized to neuronal processes and epithelial adherens junctions.","Fibronectin type III; Immunoglobulin I-set; Immunoglobulin subtype; Immunoglobulin subtype 2; Immunoglobulin-like domain; Immunoglobulin-like fold; PTP type protein phosphatase; Protein-tyrosine phosphatase, catalytic; Protein-tyrosine phosphatase-like",II,+,protein_coding,36709,1,2,0.0272,0.0545,0,0,0,0,0,0,1,2,0,0
WBGene00008549,din-1,none available,"RNA recognition motif domain; SPOC-like, C-terminal domain; Spen paralogue and orthologue SPOC, C-terminal",II,-,protein_coding,18840,1,2,0.0531,0.1062,0,1,0,0,0,0,0,1,0,0
WBGene00013258,polg-1,"polg-1 encodes the C. elegans ortholog of human mitochondrial DNA polymerase gamma (POLG; OMIM:174763); polg-1 is required for normal levels of mitochondrial DNA during development, particularly during germ line development in late larval and adult stages; polg-1 is also required for normal brood sizes and adult lifespan.","DNA-directed DNA polymerase, family A, palm domain; DNA-directed DNA-polymerase, family A, mitochondria; Ribonuclease H-like domain",II,-,protein_coding,10174,3,0,0.2949,0.0,1,0,0,0,0,0,2,0,0,0
WBGene00000870,cyd-1,"cyd-1 encodes a cyclin D homolog that is required for escape from G1 cycle arrest in postembryonic blast cells, affects movement and larval viability, and may physically interact with CDK-46 and CKI-1; expressed embryonically primarily in the head, ventral cord, tail, and is later expressed primarily in the seam cells and in the somatic gonad.","Cyclin, N-terminal; Cyclin-like",II,+,protein_coding,12527,3,0,0.2395,0.0,0,0,0,0,0,0,3,0,0,0
WBGene00044084,sre-46,none available,"7TM GPCR, serpentine receptor class e (Sre)",II,-,protein_coding,3154,3,0,0.9512,0.0,1,0,0,0,0,0,2,0,0,0
WBGene00021751,Y50D7A.1,none available,Kelch repeat type 2; Kelch-type beta propeller,III,+,protein_coding,21869,1,2,0.0457,0.0915,0,1,0,0,0,0,1,1,0,0
WBGene00044401,Y55B1BR.6,none available,,III,-,protein_coding,10319,2,1,0.1938,0.0969,0,0,0,0,0,0,2,1,0,0
WBGene00044402,Y82E9BL.18,none available,"Domain of unknown function DUF38, Caenorhabditis species; F-box domain",III,+,protein_coding,4277,0,3,0.0,0.7014,0,0,0,0,0,0,0,3,0,0
WBGene00001063,dpy-1,"dpy-1 encodes a cuticulin; DPY-1 activity is required for normal body length and alae formation; dpy-1's site of action is localized to the hyp7 syncytium, based on mosaic analysis.","Zona pellucida domain; von Willebrand factor, type A",III,-,protein_coding,13020,1,2,0.0768,0.1536,0,2,0,0,0,0,1,0,0,0
WBGene00305991,E02H9.12,none available,,III,+,pseudogene,837,3,0,3.5842,0.0,0,0,0,0,0,0,3,0,0,0
WBGene00017904,lim-8,"lim-8 encodes proteins containing one PDZ and one LIM domain; in vitro binding and yeast two-hybrid assays indicate that LIM-8 can physically interact with myosin heavy chain A (MYO-3) as well as with UNC-96 and UNC-97, suggesting that LIM-8 is part of a structural component that links membrane attachment proteins to myosin thick filaments; lim-8(RNAi) in a hypersensitive rrf-3 background results in partially penetrant paralysis at mid-larval stages of development; a lim-8::gfp promoter fusion is expressed in pharyngeal and body wall muscles, as well as in vulva, spermathecae, anal sphincter and depressor muscles, head neurons, gonadal sheath, and the excretory canal; staining with LIM-8 antibodies reveals that in body wall muscle LIM-8 localizes, at least partially, to M-lines, around which myosin thick filaments are organized.","PDZ domain; Zinc finger, LIM-type",III,+,protein_coding,13176,2,1,0.1518,0.0759,0,0,0,0,1,0,1,1,0,0
WBGene00000679,col-105,none available,"Collagen triple helix repeat; Nematode cuticle collagen, N-terminal",IV,-,protein_coding,1490,3,0,2.0134,0.0,3,0,0,0,0,0,0,0,0,0
WBGene00001186,egl-18,"egl-18 encodes a member of the GATA-family of transcription factors that affects cell migration, cell fate specification; expressed in the head, in hypodermal seam cells, VC neurons, and vulval precursor cells.","Zinc finger, GATA-type; Zinc finger, NHR/GATA-type",IV,+,protein_coding,15519,2,1,0.1289,0.0644,0,0,0,0,0,0,1,1,1,0
WBGene00235376,Y9C9A.112,none available,,IV,+,pseudogene,9122,3,0,0.3289,0.0,0,0,0,0,0,0,3,0,0,0
WBGene00017174,tat-6,"tat-6 encodes one of six C. elegans subfamily IV P-type ATPase that, by sequence similarity, is proposed to function as an aminophospholipid translocase (flippase); tat-6, which appears to be expressed at very low levels, is 73% identical to the highly expressed tat-5 gene, suggesting that it is a recent duplication of tat-5; animals homozygous for a tat-6 deletion allele, ok1984, are reportedly viable.","HAD-like domain; P-type ATPase; P-type ATPase, A  domain; P-type ATPase, C-terminal; P-type ATPase, N-terminal; P-type ATPase, cytoplasmic domain N; P-type ATPase, subfamily IV",V,+,protein_coding,4310,0,3,0.0,0.6961,0,0,0,0,0,0,0,3,0,0
WBGene00006796,unc-62,"unc-62 encodes a Meis-class homeodomain protein required for posterior embryonic morphogenesis, male tail morphogenesis, commissure formation by VD and DD motor neurons, vulval morphogenesis, and normal locomotion; UNC-62 is orthologous to Drosophila HOMOTHORAX; both maternal-effect unc-62 alleles and the zygotic lethal unc-62(s472) allele phenotypically resemble mutations of the caudal ortholog pal-1; RNAi of the Pbc-class ceh-20 and ceh-40 homeodomain genes strongly enhances the hypomorphic unc-62(e644) allele to give either a strong loss-of-function or null-like phenotype, while overexpression of ceh-20 enhances the lethality of some unc-62 alleles.","Homeobox KN domain; Homeobox domain; Homeobox domain-like; Homeobox protein PKNOX/Meis, N-terminal",V,+,protein_coding,13989,3,0,0.2145,0.0,0,0,1,0,0,0,2,0,0,0
WBGene00045293,fbxa-175,none available,,V,+,pseudogene,1906,3,0,1.574,0.0,0,0,0,0,0,0,3,0,0,0
WBGene00006685,twk-33,none available,Potassium channel domain; Two pore domain potassium channel,V,-,protein_coding,4336,3,0,0.6919,0.0,0,0,0,0,0,0,3,0,0,0
WBGene00013355,gck-3,"gck-3 encodes a STE20-related kinase, required for normal excretory canal tubules, that is regulated by WNK-1 and in turn inhibits CLH-3; GCK-3 is expressed in oocytes and the excretory cell; GCK-3 binds the C-terminus of CLH-3B in both two-hybrid and GST affinity assays; GCK-3 inhibits a fast gating process in CLH-3B by phosphorylating it, both reducing the magnitude of CLH-3B's responses to hyperpolarization and slowing them; gck-3(tm1296) mutants are sterile, perhaps because they lose sperm from their spermathecae; gck-3(tm1296) mutants also have defective excretory canal tubules; both the fertility and the excretory canal phenotypes of gck-3(tm1296) are partially suppressible by the null clh-3(ok763) allele; a wnk-1 phenotype similar to gck-3(tm1296)'s is suppressible by constitutively activated GCK-3; and gck-3(RNAi) constitutively activates CLH-3B in immature oocytes; GCK-3 is phosphorylated by WNK-1 in vitro, and gck-3 mutants phenotypically resemble wnk-1.","Protein kinase domain; Protein kinase-like domain; Serine/threonine-protein kinase OSR1/WNK, CCT domain",V,-,protein_coding,12962,0,3,0.0,0.2314,0,2,0,0,0,0,0,1,0,0
WBGene00012816,scl-21,none available,"CAP domain; Cysteine-rich  secretory protein, allergen V5/Tpx-1-related",V,-,protein_coding,926,0,3,0.0,3.2397,0,0,0,0,0,0,0,3,0,0
WBGene00012834,Y43F8C.13,none available,Inosine/uridine-preferring nucleoside hydrolase; Inosine/uridine-preferring nucleoside hydrolase domain,V,-,protein_coding,3499,0,3,0.0,0.8574,0,0,0,0,0,0,0,3,0,0
WBGene00006652,ttx-1,"ttx-1 encodes a homeodomain protein that is a member of the OTD/OTX subclass of homeodomain transcription factors; ttx-1 is expressed at higher levels in the AFD thermosensory neurons as compared to the AWB olfactory neurons and is necessary and partly sufficient for specification of the AFD thermosensory neuron fate and thus for proper AFD-mediated thermosensory behavior and normal expression of genes such as gcy-8, nhr-38, ceh-14, tax-2, and dac-1; TTX-1 is also required for remodeling of glial cells during dauer larval development which is mediated by regulation of ver-1 expression; a TTX-1::GFP fusion protein is nuclear and expressed in the AFD neurons and the nine pharyngeal marginal cells.",Homeobox domain; Homeobox domain-like,V,-,protein_coding,10458,1,2,0.0956,0.1912,0,0,0,0,0,0,1,1,0,0
WBGene00022418,igcm-4,none available,Immunoglobulin I-set; Immunoglobulin subtype; Immunoglobulin subtype 2; Immunoglobulin-like domain; Immunoglobulin-like fold,X,-,protein_coding,6964,2,1,0.2872,0.1436,0,0,0,0,0,0,1,1,0,0
WBGene00003056,lon-2,"lon-2 encodes a member of the glypican family of heparan sulfate proteoglycans; during development, lon-2 activity is required in the hypodermis for negative regulation of the DBL-1/BMP signaling pathway that regulates body length; genetic analyses indicate that lon-2 functions upstream of dbl-1, and in vitro studies show that LON-2 can bind mammalian BMP2, suggesting that LON-2 may directly interact with DBL-1 to negatively regulate DBL-1/BMP signaling; in addition to expression in hypodermis, LON-2 is expressed strongly in the intestine, particularly the anterior and posterior cells; LON-2 localizes to the cell surface.",Glypican,X,-,protein_coding,10120,3,0,0.2964,0.0,2,0,0,0,0,0,1,0,0,0
WBGene00000100,ajm-1,"ajm-1 encodes a member of the apical junction molecule class that is required for correct elongation of the C. elegans embryo; AJM-1 contains a coiled-coil motif; AJM-1 binds DLG-1 in vitro, in yeast two-hybrid assays, and in vivo; AJM-1 is mislocalized in a dlg-1(RNAi) background; LET-413 is required for rapid confinement of DLG-1 and AJM-1 to a narrow apical region in C. elegans epithelia; CLC-1 colocalizes with AJM-1; vab-9 mutations enhance the adhesion defects of ajm-1 mutants; ajm-1 is expressed at the apical borders of all epithelia.",,X,+,protein_coding,30674,2,1,0.0652,0.0326,1,0,0,0,0,0,1,1,0,0
WBGene00005221,srg-64,none available,"7TM GPCR, serpentine receptor class g (Srg)",X,-,protein_coding,3783,0,3,0.0,0.793,0,0,0,0,0,0,0,3,0,0
WBGene00018188,F38E9.6,none available,,X,+,protein_coding,8155,3,0,0.3679,0.0,0,0,0,0,0,0,3,0,0,0
WBGene00019211,H18N23.2,none available,"CBM21 (carbohydrate binding type-21) domain; Protein phosphatase 1 regulatory subunit 3B/C/D, metazoa",X,-,protein_coding,18162,0,3,0.0,0.1652,0,2,0,0,0,0,0,0,0,0
WBGene00021683,mtm-10,none available,Myotubularin family; Myotubularin-like phosphatase domain; Myotubularin-related 12-like C-terminal domain; PH domain-like; Protein-tyrosine phosphatase-like,I,+,protein_coding,10104,1,1,0.099,0.099,1,0,0,0,0,0,0,1,0,0
WBGene00000227,atm-1,atm-1 encodes an ortholog of human ATM that is required for the checkpoint response to DNA damage; human ATM encodes a phosphatidylinositol-3 kinase homolog that is biochemically activated by cellular irradiation.,"FATC domain; Phosphatidylinositol 3-/4-kinase, catalytic domain; Protein kinase-like domain",I,+,protein_coding,25021,2,0,0.0799,0.0,1,0,0,0,0,0,1,0,0,0
WBGene00305445,F54A5.7,none available,,I,-,ncRNA,3688,0,2,0.0,0.5423,0,0,0,2,0,0,0,0,0,0
WBGene00002141,inx-19,"inx-19 encodes an innexin, proteins that form gap junction channels; inx-19 functions in parallel with the NSY-4 claudin to specify the AWC chemosensory neuron ON fate; in specifying the AWC on fate, inx-19 appears to function cell autonomously; inx-19 also regulates body size and growth.",Innexin,I,-,protein_coding,12721,2,0,0.1572,0.0,0,0,0,0,0,0,2,0,0,0
WBGene00000368,ccb-1,"ccb-1 encodes a beta subunit of a voltage-gated calcium channel; recordings of voltage-dependent calcium currents indicate that CCB-1 regulates voltage dependence, kinetics, and conductance of the EGL-19 alpha1 subunit of the body wall muscle voltage-dependent calcium channel; a ccb-1::gfp promoter fusion is expressed in most neurons and muscle cells types.","Guanylate kinase/L-type calcium channel beta subunit; P-loop containing nucleoside triphosphate hydrolase; SH3 domain; Voltage-dependent calcium channel, L-type, beta subunit",I,-,protein_coding,5432,1,1,0.1841,0.1841,0,0,0,0,0,0,1,1,0,0
WBGene00006820,unc-89,"unc-89 encodes several protein isoforms variably characterized by the presence or absence of SH3, DH, PH, immunoglobulin and myosin light chain kinase (MLCK)-like protein kinase domains; during development, unc-89 is required for proper organization of A bands in striated muscle and thus for fully normal locomotion, pharyngeal muscle contractions, and body size; unc-89 is expressed in body wall muscle, pharyngeal muscle and some cells in the tail; UNC-89 protein isoforms localize to the middle of A-bands, consistent with UNC-89 being an M line component; UNC-89 interacts with the SCPL-1 phosphatase both in vitro and in vivo.",Dbl homology (DH) domain; Fibronectin type III; Immunoglobulin I-set; Immunoglobulin V-set domain; Immunoglobulin subtype; Immunoglobulin subtype 2; Immunoglobulin-like domain; Immunoglobulin-like fold; PH domain-like; Pleckstrin homology domain; Protein kinase domain; Protein kinase-like domain; RCSD; SH3 domain,I,+,protein_coding,55184,1,1,0.0181,0.0181,1,0,0,0,0,0,0,1,0,0
