wormbase_gene_id,gene_symbol,gene_function,protein_domains,chromosome,strand,biotype,gene_start,gene_end,gene_length,g_count,c_count,a_count,t_count,g_percentage,c_percentage,gc_percentage,five_prime_UTR_length,CDS_length,intron_length,three_prime_UTR_length,exon_length,promoter_length,TSS_region_length,gene_body_length,intergenic_length,pis_five_prime_UTR_count,pis_CDS_count,pis_intron_count,pis_three_prime_UTR_count,pis_exon_count,pis_promoter_count,pis_TSS_region_count,pis_gene_body_count,pis_intergenic_count,pis_total,pis_five_prime_UTR_density_per_kb,pis_CDS_density_per_kb,pis_intron_density_per_kb,pis_three_prime_UTR_density_per_kb,pis_exon_density_per_kb,pis_promoter_density_per_kb,pis_TSS_region_density_per_kb,pis_gene_body_density_per_kb,pis_intergenic_density_per_kb,pis_total_density_per_kb,pgs_five_prime_UTR_count,pgs_CDS_count,pgs_intron_count,pgs_three_prime_UTR_count,pgs_exon_count,pgs_promoter_count,pgs_TSS_region_count,pgs_gene_body_count,pgs_intergenic_count,pgs_total,pgs_five_prime_UTR_density_per_kb,pgs_CDS_density_per_kb,pgs_intron_density_per_kb,pgs_three_prime_UTR_density_per_kb,pgs_exon_density_per_kb,pgs_promoter_density_per_kb,pgs_TSS_region_density_per_kb,pgs_gene_body_density_per_kb,pgs_intergenic_density_per_kb,pgs_total_density_per_kb
WBGene00006876,vab-10,"vab-10 encodes, by alternative splicing, two spectraplakins (VAB-10A and VAB-10B) that are jointly required for mechanical resilience of the epidermis under strain by the contraction of actin microfilaments mechanically linked to fibrous organelles (FOs); VAB-10A/B are, accordingly, required for elongation during embryonic morphogenesis; VAB-10A has C-terminal plectin repeats while VAB-10B has spectrin repeats; VAB-10A is required to keep the epidermis and extracellular matrix attached via FOs, while VAB-10B is required to keep the apical and basal epidermal plasma membranes connected during morphogenesis; vab-10a and vab-10b mutations complement one another; vab-10 is orthologous to human BPAG1 (dystonin or MACF2, OMIM:113810, encoding an autoantigen of bullous pemphigoid blistering disease) and dJ562N20.1 (MACF1), and to Drosophila SHORT STOP.",Calponin homology domain; EF-hand domain pair; Gas2-related domain; Plectin repeat; Spectrin repeat; Spectrin/alpha-actinin,I,-,protein_coding,11747424,11804991,57568,11703,12389,16529,16947,20.33,21.52,41.85,74,23456,42053,569,24099,0,0,57568,0,0,1,1,0,0,0,0,2,0,2,0.0,0.0426,0.0238,0.0,0.0,0.0,0.0,0.0347,0.0,0.0347,0,1,3,0,0,0,0,4,0,4,0.0,0.0426,0.0713,0.0,0.0,0.0,0.0,0.0695,0.0,0.0695
WBGene00021187,Y9D1A.2,none available,,II,-,pseudogene,7450511,7453093,2583,506,636,659,782,19.59,24.62,44.21,0,0,0,0,0,0,0,2583,0,0,5,0,0,0,0,0,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9357,0.0,1.9357,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3871,0.0,0.3871
WBGene00202229,F57G4.15,none available,,V,+,ncRNA,17629262,17629432,171,65,42,22,42,38.01,24.56,62.57,0,0,0,0,171,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0,0,0,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0877,0.0,35.0877
WBGene00189954,F40G9.18,none available,,III,-,protein_coding,167259,169578,2320,425,545,743,607,18.32,23.49,41.81,22,1173,999,126,1321,0,0,2320,0,0,4,1,0,0,0,0,5,0,5,0.0,3.4101,1.001,0.0,0.0,0.0,0.0,2.1552,0.0,2.1552,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00008812,F14F7.5,none available,Domain of unknown function WSN,III,+,protein_coding,13032001,13036408,4408,857,1065,1258,1228,19.44,24.16,43.6,0,2815,1608,125,2879,0,0,4408,0,0,5,0,0,0,0,0,5,0,5,0.0,1.7762,0.0,0.0,0.0,0.0,0.0,1.1343,0.0,1.1343,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00006985,zig-8,zig-8 encodes a predicted secreted protein that is a member of the immunoglobulin superfamily of proteins; a zig-8::gfp reporter fusion is expressed in the PVT neuron and in pharyngeal muscle.,Immunoglobulin I-set; Immunoglobulin V-set domain; Immunoglobulin subtype; Immunoglobulin subtype 2; Immunoglobulin-like domain; Immunoglobulin-like fold,III,+,protein_coding,13119820,13133938,14119,2674,2445,4457,4543,18.94,17.32,36.26,39,807,13146,127,973,0,0,14119,0,0,0,4,0,0,0,0,4,0,4,0.0,0.0,0.3043,0.0,0.0,0.0,0.0,0.2833,0.0,0.2833,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0761,0.0,0.0,0.0,0.0,0.0708,0.0,0.0708
WBGene00019562,K09C6.8,none available,Protein kinase-like domain,V,-,protein_coding,840210,843218,3009,776,673,786,774,25.79,22.37,48.16,0,1656,1307,46,1702,0,0,3009,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,5,0,5,0.0,0.0,3.8256,0.0,0.0,0.0,0.0,1.6617,0.0,1.6617
WBGene00013949,ZK262.2,none available,Alpha/Beta hydrolase fold; Fungal lipase-like domain,V,-,protein_coding,18410327,18412987,2661,622,592,730,717,23.37,22.25,45.62,58,1062,1071,470,1590,0,0,2661,0,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.9337,0.0,0.0,0.0,0.0,0.3758,0.0,0.3758,0,4,0,0,0,0,0,4,0,4,0.0,3.7665,0.0,0.0,0.0,0.0,0.0,1.5032,0.0,1.5032
WBGene00044138,sssh-1,none available,,X,+,protein_coding,14875968,14878855,2888,714,537,730,907,24.72,18.59,43.32,197,468,2087,136,801,0,0,2888,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,5,0,5,0.0,0.0,2.3958,0.0,0.0,0.0,0.0,1.7313,0.0,1.7313
WBGene00020283,T06A4.3,none available,"Carboxypeptidase, activation peptide; Peptidase M14, carboxypeptidase A; Protease propeptides/proteinase inhibitor I9; ShKT domain",I,+,protein_coding,763478,770720,7243,1450,1633,1883,2277,20.02,22.55,42.57,197,1532,5433,224,1953,0,0,7243,0,0,1,3,0,0,0,0,4,0,4,0.0,0.6527,0.5522,0.0,0.0,0.0,0.0,0.5523,0.0,0.5523,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00012946,Y47H9B.2,none available,Chymotrypsin family Peptidase-S1,I,+,protein_coding,11744169,11747451,3283,724,862,835,862,22.05,26.26,48.31,3,954,2289,37,994,0,0,3283,0,0,0,4,0,0,0,0,4,0,4,0.0,0.0,1.7475,0.0,0.0,0.0,0.0,1.2184,0.0,1.2184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00002189,kin-1,"kin-1 encodes multiple isoforms of a serine/threonine protein kinase that is orthologous to cAMP-dependent protein kinase (protein kinase A or PKA) catalytic subunits; KIN-1 is able to phosphorylate histone H2B in vitro and is associated with both particulate (~65%) and cytosolic (35%) cellular fractions; KIN-1 is expressed at low levels during embryogenesis, but its expression level increases in late embryogenesis, whereupon KIN-1 expression remains relatively high throughout larval and adult development; kin-1 mRNA levels, however, are fairly constant throughout development, suggesting that KIN-1 expression is regulated post-transcriptionally.","AGC-kinase, C-terminal; Protein kinase domain; Protein kinase-like domain",I,+,protein_coding,14913766,14952226,38461,6646,7387,11587,12841,17.28,19.21,36.49,763,3083,36096,1794,5340,0,0,38461,0,0,2,0,0,0,0,0,2,0,2,0.0,0.6487,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.052,0,1,1,0,0,0,0,2,0,2,0.0,0.3244,0.0277,0.0,0.0,0.0,0.0,0.052,0.0,0.052
WBGene00020092,pcf-11,none available,CID domain; ENTH/VHS; RNA polymerase II-binding domain,III,+,protein_coding,5024914,5029825,4912,898,1068,1495,1451,18.28,21.74,40.02,483,2718,1827,2362,3703,0,0,4912,0,1,1,2,0,0,0,0,4,0,4,2.0704,0.3679,1.0947,0.0,0.0,0.0,0.0,0.8143,0.0,0.8143,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00021428,Y38F2AR.10,none available,Major sperm protein (MSP) domain; PapD-like; Vesicle-associated membrane-protein-associated protein,IV,-,protein_coding,2396241,2399520,3280,850,715,732,983,25.91,21.8,47.71,100,555,2609,16,671,0,0,3280,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0,4,0,4,0.0,0.0,1.5332,0.0,0.0,0.0,0.0,1.2195,0.0,1.2195
WBGene00013101,Y51H4A.5,none available,Alpha/Beta hydrolase fold; Fungal lipase-like domain,IV,-,protein_coding,16522529,16526138,3610,592,753,1194,1071,16.4,20.86,37.26,16,990,2550,54,1060,0,0,3610,0,0,0,4,0,0,0,0,4,0,4,0.0,0.0,1.5686,0.0,0.0,0.0,0.0,1.108,0.0,1.108,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00020388,T10B5.2,none available,,V,-,pseudogene,1848073,1851445,3373,843,763,800,967,24.99,22.62,47.61,0,0,0,0,0,0,0,3373,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1859,0.0,1.1859
WBGene00017930,F29G9.1,none available,,V,+,protein_coding,6039101,6040582,1482,353,315,437,377,23.82,21.26,45.07,397,291,530,264,952,0,0,1482,0,1,0,0,0,0,0,1,1,0,2,2.5189,0.0,0.0,0.0,0.0,0.0,0.0,0.6748,0.0,1.3495,0,2,0,0,0,0,0,2,0,2,0.0,6.8729,0.0,0.0,0.0,0.0,0.0,1.3495,0.0,1.3495
WBGene00044200,H37A05.4,none available,,V,-,protein_coding,13646879,13649780,2902,566,662,835,839,19.5,22.81,42.32,1383,911,716,70,2299,0,0,2902,0,0,3,0,0,0,0,0,3,0,3,0.0,3.2931,0.0,0.0,0.0,0.0,0.0,1.0338,0.0,1.0338,1,0,0,0,0,0,0,1,0,1,0.7231,0.0,0.0,0.0,0.0,0.0,0.0,0.3446,0.0,0.3446
WBGene00016725,C46H3.2,none available,Ankyrin repeat; Ankyrin repeat-containing domain; SH3 domain; Sterile alpha motif domain; Sterile alpha motif/pointed domain,X,-,protein_coding,1211760,1230758,18999,3336,3306,6472,5885,17.56,17.4,34.96,266,2763,16016,208,2983,0,0,18999,0,0,0,1,0,0,0,1,1,0,2,0.0,0.0,0.0624,0.0,0.0,0.0,0.0,0.0526,0.0,0.1053,0,0,2,0,0,0,0,2,0,2,0.0,0.0,0.1249,0.0,0.0,0.0,0.0,0.1053,0.0,0.1053
WBGene00019435,K06A9.1,"The K06A9.1 gene encodes an homolog of human TCOF1, which when mutated leads to Treacher-Collins syndrome (OMIM:154500).",,X,+,protein_coding,1547505,1560145,12641,1963,3756,3609,3313,15.53,29.71,45.24,1642,7791,8866,417,8212,0,0,12641,0,0,3,1,0,0,0,0,4,0,4,0.0,0.3851,0.1128,0.0,0.0,0.0,0.0,0.3164,0.0,0.3164,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00006742,unc-2,"unc-2 encodes a calcium channel alpha subunit similar to the human P/Q-type calcium channel, CACNA1A; unc-2 is required for desensitization to dopamine, normal movement, normally low sensitivity of whole animals to serotonin, and neuronal migrations; unc-2 interacts with the TGF beta pathway to regulate movement, and maintain normal serotonin levels; unc-2/TGF beta pathway is also required for the stress-induced modulation of tryptophan hydroxylase/tph-1 expression in the serotonergic chemosensory ADF neurons (but not the NSM neurons); UNC-2 is expressed primarily in motor neurons, several sensory neurons, and the HSN and VC neurons controlling egg-laying.","Ion transport domain; Voltage-dependent L-type calcium channel, IQ-associated domain; Voltage-dependent calcium channel, alpha-1 subunit; Voltage-dependent calcium channel, alpha-1 subunit, IQ domain",X,-,protein_coding,2710920,2763526,52607,9521,8884,17821,16381,18.1,16.89,34.99,56,7076,45413,796,7784,0,0,52607,0,0,0,2,0,0,0,0,2,0,2,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.038,0.0,0.038,0,0,1,0,0,0,1,1,0,2,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.019,0.0,0.038
WBGene00021733,otub-2,The Y50C1A.1 gene encodes an A20-like protease homolog that may be involved in apoptosis.,OTU domain,I,+,protein_coding,398891,412918,14028,2113,2073,5101,4741,15.06,14.78,29.84,62,1929,11633,408,2397,0,0,14028,0,0,0,2,0,0,0,0,2,0,2,0.0,0.0,0.1719,0.0,0.0,0.0,0.0,0.1426,0.0,0.1426,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0713,0.0,0.0713
WBGene00022159,mppa-1,none available,"Metalloenzyme, LuxS/M16 peptidase-like; Peptidase M16, C-terminal; Peptidase M16, N-terminal",I,-,protein_coding,1740641,1751055,10415,1830,1467,3330,3788,17.57,14.09,31.66,485,1545,8748,122,2135,0,0,10415,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,3,0,3,0.0,0.0,0.3429,0.0,0.0,0.0,0.0,0.288,0.0,0.288
WBGene00010770,K11D2.4,none available,Zinc finger C2H2-type,I,+,protein_coding,12518787,12528322,9536,1839,2147,2722,2828,19.28,22.51,41.8,99,1446,7300,769,2314,0,0,9536,0,0,0,0,3,0,0,0,3,0,3,0.0,0.0,0.0,3.9012,0.0,0.0,0.0,0.3146,0.0,0.3146,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00007655,C17H1.2,none available,,I,-,protein_coding,13085106,13103119,18014,2240,2615,6234,6925,12.43,14.52,26.95,60,222,17354,378,660,0,0,18014,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,3,0,3,0.0,13.5135,0.0,0.0,0.0,0.0,0.0,0.1665,0.0,0.1665
WBGene00012394,hsd-1,"hsd-1 encodes a hydroxysteroid dehydrogenase orthologous to 3beta-hydroxysteroid dehydrogenase/delta5-delta4 isomerases (3beta-HSDs); HSD-1 likely functions in the biosynthesis of steroid hormones, such as delta4-dafachronic acid, to promote reproductive growth (larval development) and prevent dauer arrest; in regulating larval development, hsd-1 exhibits cross-talk with the insulin signaling pathway, via regulation of the subcellular localization, and hence activity, of DAF-16; hsd-1 is expressed in the two neuronal-like XXX(L/R) cells beginning in late embryogenesis (pretzel stage) and continuing through all four larval stages, with expression fading in adults; HSD-1 is paralogous to HSD-2 and HSD-3.",3-beta hydroxysteroid dehydrogenase/isomerase; NAD(P)-binding domain,I,-,protein_coding,13720125,13724453,4329,906,815,1283,1325,20.93,18.83,39.76,0,1389,2940,0,1389,0,0,4329,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,3,0,3,0.0,0.0,1.0204,0.0,0.0,0.0,0.0,0.693,0.0,0.693
WBGene00008187,C49A1.5,none available,Glycosyltransferase family 92,I,+,protein_coding,14236395,14241181,4787,922,980,1491,1394,19.26,20.47,39.73,1004,1491,2286,6,2501,0,0,4787,0,1,0,0,0,0,0,0,1,0,1,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.2089,0.0,0.2089,0,0,2,0,0,0,0,2,0,2,0.0,0.0,0.8749,0.0,0.0,0.0,0.0,0.4178,0.0,0.4178
WBGene00005078,src-2,"src-2 encodes a non-receptor protein tyrosine kinase that, along with src-1, is one of two C. elegans Src family kinase members; although src-2(RNAi) alone results in no overt phenotype, src-2(RNAi) performed in the background of retinoblastoma pathway mutants results in embryonic and larval lethality, as well as sterility; a src-2::GFP reporter fusion is expressed in pharyngeal muscles, the vulva, and some cells around anus; overexpression of SRC-2 in yeast cell results in an overall increase in protein tyrosine phosphorylation levels, which is suppressed by co-expression with CSK-1, a predicted negative regulator of SRC-2 activity.","Protein kinase-like domain; SH2 domain; SH3 domain; Serine-threonine/tyrosine-protein kinase, catalytic domain; Tyrosine-protein kinase, catalytic domain",I,+,protein_coding,14322237,14328965,6729,1399,1400,1976,1954,20.79,20.81,41.6,50,1524,5025,130,1704,0,0,6729,0,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.1486,0.0,0.1486,0,0,2,0,0,0,0,2,0,2,0.0,0.0,0.398,0.0,0.0,0.0,0.0,0.2972,0.0,0.2972
WBGene00001147,eat-18,"eat-18 encodes a small novel protein with an intracellular N terminus, a single predicted transmembrane domain, and a short, extracellular carboxy terminus; eat-18 is required for proper nicotinic neurotransmission by the excitatory pharyngeal MC neuron and thus, for rapid pharyngeal pumping in the presence of food; eat-18 is also required for alpha-bungarotoxin-binding to pharyngeal nicotinic receptors, suggesting that EAT-18 is required for normal topology of most or all nicotinic receptors in postsynaptic cells in the pharynx; an EAT-18::GFP fusion protein is expressed in pharyngeal muscle, the M5 pharyngeal motor neuron, and five to six unidentified extrapharyngeal neurons; eat-18 displays allele-specific genetic interactions with eat-2, which encodes a non-alpha-nicotonic acetylcholine receptor subunit expressed in pharyngeal muscle and also required for proper regulation of the pharyngeal pumping rate.",,I,+,protein_coding,14391860,14400222,8363,1698,1830,2499,2336,20.3,21.88,42.19,147,256,5443,2783,3186,0,0,8363,0,3,0,0,0,0,0,0,3,0,3,20.4082,0.0,0.0,0.0,0.0,0.0,0.0,0.3587,0.0,0.3587,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
