wormbase_gene_id,gene_symbol,gene_function,protein_domains,chromosome,strand,biotype,n_transcripts,pis_total_hits,pis_transcripts_with_any,pis_transcripts_with_utr5,pis_transcripts_with_cds,pis_transcripts_with_utr3,pis_pct_transcripts_with_any,pis_pct_transcripts_with_utr5,pis_pct_transcripts_with_cds,pis_pct_transcripts_with_utr3,pis_avg_density_utr5,pis_avg_density_cds,pis_avg_density_utr3,pis_avg_total_density,pgs_total_hits,pgs_transcripts_with_any,pgs_transcripts_with_utr5,pgs_transcripts_with_cds,pgs_transcripts_with_utr3,pgs_pct_transcripts_with_any,pgs_pct_transcripts_with_utr5,pgs_pct_transcripts_with_cds,pgs_pct_transcripts_with_utr3,pgs_avg_density_utr5,pgs_avg_density_cds,pgs_avg_density_utr3,pgs_avg_total_density
WBGene00021187,WBGene00021187,none available,,II,-,pseudogene,1,1,1,0,0,1,100.0,0.0,0.0,100.0,0.0,0.0,0.5097,0.5097,5,1,0,0,1,100.0,0.0,0.0,100.0,0.0,0.0,2.5484,2.5484
WBGene00004128,pqn-41,"The protein product of this gene is predicted to contain a glutamine/asparagine (Q/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).",,III,+,protein_coding,6,5,5,0,5,0,83.33,0.0,83.33,0.0,0.0,0.445,0.0,0.2052,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00006805,unc-73,"unc-73 encodes a guanine nucleotide exchange factor (GNEF) similar to the Trio protein; UNC-73 is required for vulval morphogenesis, for the migration of QL, QR, CAN, and hypodermal P cells, the commissure outgrowth of D type motoneurons, and amphid axon outgrowth; UNC-73 has GNEF activity for both CED-10 and MIG-2 in vitro; the requirement for UNC-73 in P cell migration can be suppressed by transgenic overexpression of rho-1; UNC-73 activates several small GTPases: RHO-1 in P cell migration, and both CED-10 and MIG-2 in vulval morphogenesis, P cell migration, and axon outgrowth.",CRAL-TRIO lipid binding domain; Dbl homology (DH) domain; Fibronectin type III; Immunoglobulin I-set; Immunoglobulin-like domain; Immunoglobulin-like fold; PH domain-like; Pleckstrin homology domain; SH3 domain,I,-,protein_coding,10,5,5,0,0,5,50.0,0.0,0.0,50.0,0.0,0.0,0.6273,0.1382,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00019435,K06A9.1,"The K06A9.1 gene encodes an homolog of human TCOF1, which when mutated leads to Treacher-Collins syndrome (OMIM:154500).",,X,+,protein_coding,7,5,4,0,4,0,57.14,0.0,57.14,0.0,0.0,0.1177,0.0,0.1176,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00021921,rbm-39,none available,"RNA recognition motif domain; RNA recognition motif domain, eukaryote; Splicing factor RBM39, linker; Splicing factor, RBM39-like",IV,+,protein_coding,6,5,5,0,0,5,83.33,0.0,0.0,83.33,0.0,0.0,2.85,0.346,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00000056,acr-17,none available,Neurotransmitter-gated ion-channel; Neurotransmitter-gated ion-channel ligand-binding domain; Neurotransmitter-gated ion-channel transmembrane domain,V,+,ncRNA,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,0,4,44.44,0.0,0.0,44.44,0.0,0.0,0.297,0.297
WBGene00001063,dpy-1,"dpy-1 encodes a cuticulin; DPY-1 activity is required for normal body length and alae formation; dpy-1's site of action is localized to the hyp7 syncytium, based on mosaic analysis.","Zona pellucida domain; von Willebrand factor, type A",III,-,protein_coding,2,4,2,0,2,0,100.0,0.0,100.0,0.0,0.0,0.5383,0.0,0.5312,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00002025,hsp-60,"hsp-60 encodes a nuclear-encoded mitochondrion-specific chaperone that is a member of the GroE/Hsp10/60 superfamily of molecular chaperones; hsp-60 is involved in the mitochondrial unfolded protein response, as hsp-60 expression, normally broadly detected during development, is greatly increased in response to treatments that disrupt mitochondrial protein handling; loss of hsp-60 activity via RNAi results in severe growth defects with arrest at embryonic and early larval stages of development.",Chaperone tailless complex polypeptide 1 (TCP-1); Chaperonin Cpn60; Chaperonin Cpn60/TCP-1 family; GroEL-like apical domain; GroEL-like equatorial domain,III,+,protein_coding,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,4,0,100.0,0.0,100.0,0.0,0.0,0.8297,0.0,0.7706
WBGene00002066,ifg-1,"ifg-1 encodes, by alternative splicing, two orthologs of the translation initiation factor 4F, ribosome/mRNA-bridging subunit (eIF-4G); by homology, IFG-1 is predicted to function in poly(A) tail-dependent translation initiation; loss of ifg-1 activity in adult animals extends lifespan.","Armadillo-type fold; MIF4G-like, type 3",II,+,protein_coding,5,4,4,0,0,4,80.0,0.0,0.0,80.0,0.0,0.0,0.7146,0.1731,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00002915,let-805,"let-805 encodes myotactin, a novel single-transmembrane protein containing extracellular fibronectin repeats; genetic analyses indicate that LET-805 is essential for proper association between hypodermal fibrous organelles and the contractile apparatus of muscle cells; LET-805 is expressed in hypodermal cells and in the pharynx and localizes to basolateral membranes.",Fibronectin type III; Immunoglobulin-like fold,III,+,protein_coding,4,4,2,0,2,2,50.0,0.0,50.0,50.0,0.0,0.0382,1.2771,0.0741,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00004154,pqn-72,"The protein product of this gene is predicted to contain a glutamine/asparagine (Q/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).",,I,-,protein_coding,6,4,4,0,4,0,66.67,0.0,66.67,0.0,0.0,0.3974,0.0,0.3644,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00006788,unc-53,"unc-53 encodes at least five large (~1200-1600 residue) proteins, orthologous to human NAV1, NAV2/RAINB1 (OMIM:607026), and NAV3, and homologous to Drosophila CG10662; UNC-53 proteins are required for anteroposterior guidance of migrating cells, axons, and excretory cell canals; unc-53 mutations affect egg laying, backward locomotion, body size, and male mating; UNC-53 proteins vary in their N-terminal regions but share common C-terminal sequences with a AAA-ATPase domain; the UNC-53 N-terminus physically interacts with ABI-1, suggesting that UNC-53 may function as a scaffold to link the ARP2/3 complex to ABI-1; UNC-53 also interacts both physically and genetically with SEM-5; unc-53 is expressed in those cells requiring it, suggesting that its function is cell-autonomous; overexpression of unc-53 induces excess cellular outgrowth.",Calponin homology domain; P-loop containing nucleoside triphosphate hydrolase,II,-,protein_coding,8,4,4,0,0,4,50.0,0.0,0.0,50.0,0.0,0.0,1.9522,0.0998,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00008929,F18A11.2,none available,CRAL-TRIO lipid binding domain,II,+,protein_coding,4,4,4,0,4,0,100.0,0.0,100.0,0.0,0.0,0.8591,0.0,0.62,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00009126,pyk-1,"pyk-1 encodes one of two C. elegans pyruvate kinases; large-scale RNAi experiments indicate that pyk-1 is essential for embryonic development and specifically, for normal cortical activity in the AB blastomere; large-scale expression studies show that pyk-1 is expressed in body wall muscle in larvae and in body wall and vulval muscle, as well as in the reproductive system, in adults.","Pyruvate kinase; Pyruvate kinase, C-terminal; Pyruvate kinase, barrel; Pyruvate kinase-like, insert domain; Pyruvate/Phosphoenolpyruvate kinase-like domain",I,+,protein_coding,6,4,4,0,0,4,66.67,0.0,0.0,66.67,0.0,0.0,1.785,0.3113,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00009314,phm-2,none available,RNA recognition motif domain; SAP domain,I,+,protein_coding,5,4,4,0,0,4,80.0,0.0,0.0,80.0,0.0,0.0,5.3782,0.3055,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00013177,rsy-1,none available,PNN-interacting serine/arginine-rich protein,I,-,protein_coding,2,2,2,0,2,0,100.0,0.0,100.0,0.0,0.0,0.6217,0.0,0.5826,2,2,0,2,0,100.0,0.0,100.0,0.0,0.0,0.6217,0.0,0.5826
WBGene00013734,gldi-8,none available,Zinc finger C2H2-type,III,-,protein_coding,4,4,4,0,0,4,100.0,0.0,0.0,100.0,0.0,0.0,6.5362,0.5425,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00013949,ZK262.2,none available,Alpha/Beta hydrolase fold; Fungal lipase-like domain,V,-,protein_coding,1,4,1,0,0,1,100.0,0.0,0.0,100.0,0.0,0.0,8.4567,2.5157,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00016603,met-1,"met-1 encodes a histone methyltransferase whose SET domain is similar to that of Saccharomyces cerevisiae Set2p; loss of met-1 activity in the background of a mutant class A synMuv gene, such as lin-15A, results in a multivulval phenotype, indicating that met-1 acts to negatively regulate vulval cell fate specification; as met-1 is required for normal levels of histone H3K36 and H3K9 trimethylation and met-1;lin-15A animals show an increase in lin-3 EGF expression, met-1 likely acts as part of a transcriptional repressor complex that negatively regulates lin-3 EGF transcription to restrict vulval development to three of the six cells in the vulval equivalence group; in addition, genetic studies indicate that met-1 likely acts redundantly with met-2 to inhibit vulval cell fates.",AWS domain; Post-SET domain; SET domain; WW domain,I,+,protein_coding,4,4,4,0,0,4,100.0,0.0,0.0,100.0,0.0,0.0,2.6957,0.1883,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00017930,F29G9.1,none available,,V,+,protein_coding,1,2,1,1,0,0,100.0,100.0,0.0,0.0,5.0378,0.0,0.0,2.1008,2,1,0,0,1,100.0,0.0,0.0,100.0,0.0,0.0,7.4906,2.1008
WBGene00018788,shc-1,"shc-1 encodes four proteins by multiple splicing, three of which are rather small (52-81 residues); however, one isoform (F54A5.3A, 316 residues) is a ortholog of vertebrate Shc proteins (e.g., p52/p46SHC and p66SHC); like its orthologs, F54A5.3A has a PTB and an SH2 domain in N- to C-terminal order; shc-1 interacts with both the JNK and insulin signaling pathways to regulate stress response and adult life span; SHC-1::GFP is widely expressed during postembryonic development and localizes to both the cytoplasm and the nucleus.",PH domain-like; PTB/PI domain; SH2 domain,I,-,protein_coding,9,4,2,1,0,1,22.22,11.11,0.0,11.11,0.0559,0.0,0.0485,0.0908,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00019211,H18N23.2,none available,"CBM21 (carbohydrate binding type-21) domain; Protein phosphatase 1 regulatory subunit 3B/C/D, metazoa",X,-,protein_coding,3,4,2,0,0,2,66.67,0.0,0.0,66.67,0.0,0.0,1.2028,0.6005,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00019871,R04E5.8,none available,,X,-,protein_coding,4,4,4,0,0,4,100.0,0.0,0.0,100.0,0.0,0.0,1.1186,0.3417,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00020092,pcf-11,none available,CID domain; ENTH/VHS; RNA polymerase II-binding domain,III,+,protein_coding,4,4,3,1,0,3,75.0,25.0,0.0,75.0,0.6009,0.0,1.4356,0.3066,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00021683,mtm-10,none available,Myotubularin family; Myotubularin-like phosphatase domain; Myotubularin-related 12-like C-terminal domain; PH domain-like; Protein-tyrosine phosphatase-like,I,+,protein_coding,4,4,4,0,4,0,100.0,0.0,100.0,0.0,0.0,1.2679,0.0,1.2106,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00000679,col-105,none available,"Collagen triple helix repeat; Nematode cuticle collagen, N-terminal",IV,-,protein_coding,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,1,0,100.0,0.0,100.0,0.0,0.0,3.4483,0.0,3.148
WBGene00001008,dlk-1,"dlk-1 encodes a mitogen-activated protein kinase kinase kinase (MAPKKK) that is the C. elegans ortholog of the dual-leucine zipper MAPKKK; in C. elegans, dlk-1 functions with mkk-4 and pmk-3 in a MAPK signaling pathway that regulates presynaptic development; dlk-1 is also essential for neuron regeneration; DLK-1 abundance is negatively regulated by the RPM-1 E3 ubiquitin ligase which can stimulate DLK-1 ubiquitination; DLK-1 localizes to the periactive zone of synapses in the nerve ring and nerve cord.","Mitogen-activated protein kinase kinase kinase 12/13; Protein kinase domain; Protein kinase-like domain; Serine-threonine/tyrosine-protein kinase, catalytic domain",I,-,protein_coding,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,3,0,60.0,0.0,60.0,0.0,0.0,0.2222,0.0,0.2065
WBGene00002202,kin-19,"kin-19 encodes a serine/threonine kinase orthologous to Casein Kinase I (CKI); in the early embryo, kin-19 is a component of both the non-canonical Wnt signaling pathway that regulates endoderm formation in the early embryo as well as the Wnt spindle orientation pathway; during larval development, kin-19 functions in a non-canonical Wnt signaling pathway to control asymmetric division and fate specification in epidermal seam cells; kin-19 also functions with, or in parallel to, the heterochronic pathway to regulate loss of self-renewal and terminal differentiation of epidermal seam cells;  KIN-19 localizes to centrosomes, the cytoplasm, and the nucleus.",Protein kinase domain; Protein kinase-like domain,III,-,protein_coding,3,3,3,0,0,3,100.0,0.0,0.0,100.0,0.0,0.0,1.2568,0.5319,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00004206,pst-1,"pst-1 encodes the C. elegans ortholog of the vertebrate PAPST1 PAPS (3'-phosphoadenosine-5'-phosphosulfate) transporter and Drosophila Slalom; pst-1 is required in vivo for heparan sulfation; pst-1 is an essential gene, required both maternally and zygotically for late embryonic and larval development; pst-1 is also required for a subset of neuronal and axonal migrations and for presynaptic development in motor, and possibly touch, neurons; in regulating these developmental processes, pst-1 can function cell non-autonomously; pst-1::gfp is first detected at the two-fold stage of embryogenesis in hypodermal cells; later, pst-1::gfp expression is seen in the seam cells, pharyngeal gland cells, additional anterior cells and possibly in the intestine; PST-1::GFP shows partial localization to the Golgi.",UAA transporter,V,+,protein_coding,6,3,3,0,0,3,50.0,0.0,0.0,50.0,0.0,0.0,1.1116,0.3044,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00006870,vab-3,"vab-3 encodes a homeodomain protein that is the C. elegans Pax-6 orthologue; during development, vab-3 activity is required for proper patterning of anterior (head) hypodermal cells; vab-3 effects head development, in part, through positively regulating transcription of ceh-32, a Six/sine oculis class homeobox gene coexpressed with vab-3 in head hypodermis; vab-3 is also required for epidermal morphogenesis, epidermal cell fates, gonad cell migration and the development of sensory structures in the male tail; multiple genetic pathways including the Wnt signalling pathway and the homeobox gene, egl-5, regulate the expression of vab-3.",Homeobox domain; Homeobox domain-like; Paired domain; Winged helix-turn-helix DNA-binding domain,X,+,protein_coding,4,3,3,0,0,3,75.0,0.0,0.0,75.0,0.0,0.0,0.8053,0.3379,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00018572,lin-42,"lin-42 encodes three PAS domain-containing proteins orthologous to insect and vertebrate Period proteins that function in regulation of circadian rhythms; during larval development, lin-42 functions in the heterochronic pathway to regulate developmental switches that occurs in multiple tissues, including the hypodermis, gonad, sex myoblasts, and vulva; genetic analysis suggests that, in the hypodermis, lin-42 acts downstream of lin-46 and in the hypodermis and gonad, in parallel to daf-12 and upstream of lin-29; lin-42 mRNA levels oscillate during larval development with peak levels seen during intermolts and low levels seen during ecdysis and after the L4-to-adult molt; LIN-42 protein appears to be a widely expressed nuclear protein whose levels also fluctuate during larval stages, with peak protein typically seen towards the latter half of each larval stage in a cell type-specific manner, and then disappearing during each successive molt; in addition to three PAS domain-containing proteins, lin-42 also encodes a protein that lacks the PAS domain; transformation rescue experiments indicate that the LIN-42 isoform lacking the PAS domain is sufficient for rescue when present in multiple copies.",PAS domain,II,-,protein_coding,7,3,2,1,0,2,28.57,14.29,0.0,28.57,0.2933,0.0,0.3033,0.175,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00020491,T13G4.4,none available,Homocysteine-binding domain,X,-,protein_coding,3,2,2,2,0,0,66.67,66.67,0.0,0.0,1.4283,0.0,0.0,0.4212,1,1,1,0,0,33.33,33.33,0.0,0.0,0.3565,0.0,0.0,0.1706
WBGene00021882,nprt-1,none available,"Nicotinate phosphoribosyltransferase family; Nicotinate phosphoribosyltransferase pncB-type; Quinolinate phosphoribosyl transferase, C-terminal",IV,-,protein_coding,5,3,3,0,0,3,60.0,0.0,0.0,60.0,0.0,0.0,2.9412,0.3123,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00000004,aat-3,"aat-3 encodes an amino acid transporter catalytic subunit; when co-expressed in Xenopus oocytes with the ATG-2 glycoprotein subunit, AAT-3 is able to facilitate amino acid uptake and exchange, showing a relatively high affinity for small and some large neutral amino acids; in addition, AAT-3 is able to covalently associate with ATG-2 or ATG-1 to form heterodimers in the Xenopus expression system; when co-expressed with ATG-2, AAT-3 localizes to the cell surface of oocytes, but when expressed alone, or with ATG-1, AAT-3 localizes intracellularly.",Amino acid/polyamine transporter I,X,+,protein_coding,2,2,2,0,0,2,100.0,0.0,0.0,100.0,0.0,0.0,3.8395,0.5332,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00000106,alg-2,"alg-2 encodes a PAZ and PIWI-domain containing protein that is a member of the highly conserved eukaryotic RDE-1/AGO1/PIWI family of proteins that regulate posttranscriptional gene silencing (PTGS); ALG-2 functions with ALG-1 to control specific developmental timing events by positively regulating expression of small temporal RNAs (stRNAs) encoded by lin-4 and let-7; ALG-2 and ALG-1 are also required for RNAi in the germ line, although they are not required for RNAi in the soma; ALG-2 is expressed in nearly all cells from embryogenesis through adulthood and localizes to the cytoplasm.","Argonaute linker 2 domain; Argonaute, linker 1 domain; PAZ domain; Piwi domain; Protein argonaute, Mid domain; Protein argonaute, N-terminal; Ribonuclease H-like domain",II,+,protein_coding,2,2,2,0,2,0,100.0,0.0,100.0,0.0,0.0,0.3702,0.0,0.279,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00000176,aqp-8,"aqp-8 encodes, by alternative splicing, two isoforms of a putative aquaglyceroporin with no known substrate, since AQP-8 expressed in Xenopus oocytes has no effect on water, glycerol, or urea permeability; loss of AQP-8 activity via mutation or RNAi results in no obvious defects; however, AQP-8, in conjunction with AQP-2, AQP-3, and AQP-4, is weakly required for recovery from hypotonic stress; AQP-8 is expressed in the excretory cell.",Aquaporin-like; Major intrinsic protein,X,-,protein_coding,5,2,2,0,0,2,40.0,0.0,0.0,40.0,0.0,0.0,0.8882,0.2703,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00000622,col-45,col-45 encodes a cuticle collagen.,"Collagen triple helix repeat; Nematode cuticle collagen, N-terminal",I,+,protein_coding,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,2,0,100.0,0.0,100.0,0.0,0.0,1.1557,0.0,1.0848
WBGene00000662,col-87,none available,Collagen triple helix repeat,II,-,protein_coding,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,100.0,0.0,100.0,0.0,0.0,1.2165,0.0,1.0689
